ChanTitle,"""Max""",Mean
Amps@AlterExcAmps.RN_1,1.437331,1.015166
Amps@AlterBAmps.RN_1,16.30954,14.04122
Flow@SurgeTankFlo.RN_1,0.06166271,0.05023754
Flow@AF_FlwDefHdr.RN_1,0.01118009,0.004022705
Flow@AF_FlwDsngMd.RN_1,0.07120951,0.06955498
Flow@AF_FlwAirCmp.RN_1,0.1535026,0.1505581
Pressure@AP_InltFlHp.RN_1,57.52549,50.5119
Pressure@AP_CrkCsPrs.RN_1,-0.8190509,-1.130361
Pressure@AP_NrthDuct.RN_1,-61.80841,-80.87276
Pressure@AP_SouthDuct.RN_1,-24.67048,-50.48189
Voltage@VPF_SgnlVlt.RN_1,-3.633358,-4.073966
Voltage@AV_Bat_Volt.RN_1,14.0356,13.99505
Temp@AT_DmpnrIR.RN_1,81.48002,81.17609
Temp@AT_ExhPrsSkn.RN_1,71.91253,71.68703
Temp@AT_QdCANSnsr.RN_1,64.45301,64.17039
Temp@AT_ClntPrSns.RN_1,70.51919,70.30434
Temp@AT_BcVsHsng.RN_1,77.83284,77.58713
Temp@AT_TrbSpdBdy.RN_1,139.1172,138.8101
Temp@AT_OPrsSnBdy.RN_1,78.338,78.06387
Temp@AT_TrbSpdCn.RN_1,76.73582,76.50188
Temp@AT_TrbSpdLd.RN_1,98.96877,98.34248
Temp@AT_TC_1.RN_1,144.1903,141.619
Temp@AT_TC_15.RN_1,137.9161,136.9884
Temp@AT_TC_3.RN_1,313.7753,311.3526
Temp@AT_TC_2.RN_1,161.0099,160.2045
Temp@AT_CLD_1.RN_1,92.98615,91.16805
Temp@AT_SCItcn_9.RN_1,70.31769,69.84303
Temp@AT_StrSurfTm.RN_1,66.29079,65.06925
Temp@AT_CrnkSnBdy.RN_1,80.88426,80.54861
Temp@AT_ExTW_5.RN_1,119.6943,118.2219
Temp@AT_TC_11.RN_1,83.55443,82.92293
Temp@AT_TC_12.RN_1,140.0143,138.9261
Temp@AT_TC_5.RN_1,149.3577,148.6188
Temp@AT_TC_10.RN_1,88.63728,88.02285
Temp@AT_TC_14.RN_1,139.3723,136.4812
Temp@AT_ExThCondt.RN_1,128.7882,127.6705
Temp@AT_ETC_4.RN_1,70.63886,70.33669
