ChanTitle,"""Max""",Mean,"""Min""",SDev
Amps@AlterExcAmps.RN_1,1.430012,1.096856,0.7620798,0.1095256
Amps@AlterBAmps.RN_1,17.85761,14.36567,11.34013,1.192938
Flow@SurgeTankFlo.RN_1,0.06372657,0.05629485,0.04832778,0.002596025
Flow@AF_FlwDefHdr.RN_1,0.01458279,0.00635257,0.002713506,0.001803841
Flow@AF_FlwDsngMd.RN_1,0.06625737,0.06534187,0.06441517,3.239723E-4
Flow@AF_FlwAirCmp.RN_1,0.1423636,0.1404574,0.1386922,6.406322E-4
Pressure@AP_InltFlHp.RN_1,58.41254,50.27662,39.87131,2.823324
Pressure@AP_CrkCsPrs.RN_1,-0.6045784,-0.9033415,-1.228597,0.1367705
Pressure@AP_NrthDuct.RN_1,-61.88629,-74.36767,-95.52691,4.852645
Pressure@AP_SouthDuct.RN_1,-16.05793,-32.59192,-51.66158,6.241613
Voltage@VPF_SgnlVlt.RN_1,-3.110955,-3.338283,-3.578302,0.1359204
Voltage@AV_Bat_Volt.RN_1,13.96705,13.93517,13.89601,0.01726181
Temp@AT_DmpnrIR.RN_1,91.28675,89.93732,88.6059,0.4557754
Temp@AT_ExhPrsSkn.RN_1,78.34435,78.06393,77.75281,0.09726959
Temp@AT_QdCANSnsr.RN_1,68.66516,68.39802,68.05145,0.09488194
Temp@AT_ClntPrSns.RN_1,76.45316,76.20896,75.92593,0.08996778
Temp@AT_BcVsHsng.RN_1,84.64723,84.425,84.19382,0.08336294
Temp@AT_TrbSpdBdy.RN_1,153.1109,152.8157,152.5175,0.1174905
Temp@AT_OPrsSnBdy.RN_1,84.10272,83.80653,83.4167,0.1320827
Temp@AT_TrbSpdCn.RN_1,82.97609,82.70438,82.47272,0.08232383
Temp@AT_TrbSpdLd.RN_1,113.7806,113.0333,112.1513,0.2259762
Temp@AT_TC_1.RN_1,165.7161,163.6442,161.3788,0.6953822
Temp@AT_TC_15.RN_1,153.3483,152.3004,151.3687,0.3175701
Temp@AT_TC_3.RN_1,353.5151,352.4099,351.1392,0.6132134
Temp@AT_TC_2.RN_1,186.8228,186.1607,185.4944,0.2820657
Temp@AT_CLD_1.RN_1,108.4197,107.0686,105.3991,0.7050363
Temp@AT_SCItcn_9.RN_1,75.94416,75.47903,74.98686,0.1784801
Temp@AT_StrSurfTm.RN_1,73.76353,72.6814,71.50634,0.6109837
Temp@AT_CrnkSnBdy.RN_1,86.76237,86.35885,85.95856,0.1762707
Temp@AT_ExTW_5.RN_1,126.8091,125.8821,124.9644,0.4438344
Temp@AT_TC_11.RN_1,94.20584,93.47401,92.79169,0.2596445
Temp@AT_TC_12.RN_1,157.3517,156.5723,155.602,0.300545
Temp@AT_TC_5.RN_1,174.5067,173.9378,173.4042,0.2059225
Temp@AT_TC_10.RN_1,97.36568,96.85348,96.32755,0.2096952
Temp@AT_TC_14.RN_1,153.7707,150.575,148.6141,1.154677
Temp@AT_ExThCondt.RN_1,133.3454,132.3065,131.1132,0.3897346
