ChanTitle,"""Max""",Mean
Amps@AlterExcAmps.RN_1,1.430012,1.096856
Amps@AlterBAmps.RN_1,17.85761,14.36567
Flow@SurgeTankFlo.RN_1,0.06372657,0.05629485
Flow@AF_FlwDefHdr.RN_1,0.01458279,0.00635257
Flow@AF_FlwDsngMd.RN_1,0.06625737,0.06534187
Flow@AF_FlwAirCmp.RN_1,0.1423636,0.1404574
Pressure@AP_InltFlHp.RN_1,58.41254,50.27662
Pressure@AP_CrkCsPrs.RN_1,-0.6045784,-0.9033415
Pressure@AP_NrthDuct.RN_1,-61.88629,-74.36767
Pressure@AP_SouthDuct.RN_1,-16.05793,-32.59192
Voltage@VPF_SgnlVlt.RN_1,-3.110955,-3.338283
Voltage@AV_Bat_Volt.RN_1,13.96705,13.93517
Temp@AT_DmpnrIR.RN_1,91.28675,89.93732
Temp@AT_ExhPrsSkn.RN_1,78.34435,78.06393
Temp@AT_QdCANSnsr.RN_1,68.66516,68.39802
Temp@AT_ClntPrSns.RN_1,76.45316,76.20896
Temp@AT_BcVsHsng.RN_1,84.64723,84.425
Temp@AT_TrbSpdBdy.RN_1,153.1109,152.8157
Temp@AT_OPrsSnBdy.RN_1,84.10272,83.80653
Temp@AT_TrbSpdCn.RN_1,82.97609,82.70438
Temp@AT_TrbSpdLd.RN_1,113.7806,113.0333
Temp@AT_TC_1.RN_1,165.7161,163.6442
Temp@AT_TC_15.RN_1,153.3483,152.3004
Temp@AT_TC_3.RN_1,353.5151,352.4099
Temp@AT_TC_2.RN_1,186.8228,186.1607
Temp@AT_CLD_1.RN_1,108.4197,107.0686
Temp@AT_SCItcn_9.RN_1,75.94416,75.47903
Temp@AT_StrSurfTm.RN_1,73.76353,72.6814
Temp@AT_CrnkSnBdy.RN_1,86.76237,86.35885
Temp@AT_ExTW_5.RN_1,126.8091,125.8821
Temp@AT_TC_11.RN_1,94.20584,93.47401
Temp@AT_TC_12.RN_1,157.3517,156.5723
Temp@AT_TC_5.RN_1,174.5067,173.9378
Temp@AT_TC_10.RN_1,97.36568,96.85348
Temp@AT_TC_14.RN_1,153.7707,150.575
Temp@AT_ExThCondt.RN_1,133.3454,132.3065
Temp@AT_ETC_4.RN_1,76.21728,75.93176
Temp@AT_TC_4.RN_1,167.4552,166.1473
Temp@AT_TC_6.RN_1,189.6493,188.4321
Temp@AT_TC_7.RN_1,240.5788,235.5528
Temp@AT_TC_8.RN_1,253.4124,251.5596
Temp@AT_TC_9.RN_1,90.0052,89.33102
Temp@AT_TC_13.RN_1,250.692,249.1783
Temp@AT_TC_17.RN_1,220.7586,219.7196
Temp@AT_TC_18.RN_1,312.2826,310.6681
Temp@AT_TC_19.RN_1,167.1578,165.7824
Temp@AT_TC_20.RN_1,204.4722,203
Temp@BckPlateAmb.RN_1,147.1071,146.4317
Temp@AT_TC_21.RN_1,180.772,179.8961
Temp@TurCompHoTmp.RN_1,154.7589,154.3117
Temp@AT_TC_24.RN_1,116.0571,115.4302
Temp@AT_TC_16.RN_1,138.6637,137.8684
Temp@AT_TC_22.RN_1,86.99013,86.45634
Temp@AT_NoXWrLead.RN_1,71.47018,71.15007
Temp@AT_DPSnsrBC.RN_1,48.06566,47.53923
Temp@AT_DMPigtlLd.RN_1,58.25512,56.61489
Temp@AT_DMCnnctr.RN_1,54.29525,53.99436
