ChanTitle,"""Max""",Mean
Amps@AlterExcAmps.RN_1,1.387565,1.039274
Amps@AlterBAmps.RN_1,16.38938,14.31244
Flow@SurgeTankFlo.RN_1,0.06485868,0.05412548
Flow@AF_FlwDefHdr.RN_1,0.01693155,0.004338346
Flow@AF_FlwDsngMd.RN_1,0.07017946,0.06892166
Flow@AF_FlwAirCmp.RN_1,0.1508288,0.1484935
Pressure@AP_InltFlHp.RN_1,58.15511,49.96071
Pressure@AP_CrkCsPrs.RN_1,-0.7353543,-1.048355
Pressure@AP_NrthDuct.RN_1,-62.43139,-80.32522
Pressure@AP_SouthDuct.RN_1,-25.36256,-47.73545
Voltage@VPF_SgnlVlt.RN_1,-3.145678,-3.480086
Voltage@AV_Bat_Volt.RN_1,14.00881,13.96928
Temp@AT_DmpnrIR.RN_1,87.9746,87.57879
Temp@AT_ExhPrsSkn.RN_1,74.82001,74.57349
Temp@AT_QdCANSnsr.RN_1,66.52464,66.31814
Temp@AT_ClntPrSns.RN_1,73.42669,73.13045
Temp@AT_BcVsHsng.RN_1,80.79391,80.56383
Temp@AT_TrbSpdBdy.RN_1,144.4856,144.2671
Temp@AT_OPrsSnBdy.RN_1,81.33169,81.09236
Temp@AT_TrbSpdCn.RN_1,79.76154,79.53704
Temp@AT_TrbSpdLd.RN_1,104.9161,104.2323
Temp@AT_TC_1.RN_1,149.7476,147.8747
Temp@AT_TC_15.RN_1,145.1048,144.0662
Temp@AT_TC_3.RN_1,335.5547,333.5917
Temp@AT_TC_2.RN_1,171.1983,170.2135
Temp@AT_CLD_1.RN_1,100.2971,99.28275
Temp@AT_SCItcn_9.RN_1,73.60501,73.21112
Temp@AT_StrSurfTm.RN_1,72.69114,71.91309
Temp@AT_CrnkSnBdy.RN_1,84.24115,83.71799
Temp@AT_ExTW_5.RN_1,125.0478,124.1825
Temp@AT_TC_11.RN_1,88.18754,87.51591
Temp@AT_TC_12.RN_1,148.4883,147.6199
Temp@AT_TC_5.RN_1,159.2914,158.5951
Temp@AT_TC_10.RN_1,92.99332,92.3868
Temp@AT_TC_14.RN_1,150.2786,148.6881
Temp@AT_ExThCondt.RN_1,134.155,132.9565
Temp@AT_ETC_4.RN_1,73.64777,73.31273
Temp@AT_TC_4.RN_1,156.9772,155.3512
Temp@AT_TC_6.RN_1,168.7473,167.9416
Temp@AT_TC_7.RN_1,226.1946,222.5911
Temp@AT_TC_8.RN_1,239.8295,237.6311
Temp@AT_TC_9.RN_1,84.31365,83.68659
Temp@AT_TC_13.RN_1,233.254,230.8289
Temp@AT_TC_17.RN_1,214.8712,213.8255
Temp@AT_TC_18.RN_1,297.9632,296.3738
Temp@AT_TC_19.RN_1,160.5622,159.4222
Temp@AT_TC_20.RN_1,185.831,183.8795
Temp@BckPlateAmb.RN_1,139.1345,138.6408
Temp@AT_TC_21.RN_1,171.981,170.6351
Temp@TurCompHoTmp.RN_1,142.5723,142.142
Temp@AT_TC_24.RN_1,106.9435,106.0074
Temp@AT_TC_16.RN_1,132.3582,130.763
Temp@AT_TC_22.RN_1,82.76174,82.04894
Temp@AT_NoXWrLead.RN_1,68.4416,68.10197
Temp@AT_DPSnsrBC.RN_1,48.60879,48.13669
Temp@AT_DMPigtlLd.RN_1,55.69836,54.47713
Temp@AT_DMCnnctr.RN_1,53.14013,52.77241
Temp@AT_NoXMdHsng.RN_1,52.72092,52.42702
Temp@AT_NoXMdCntr.RN_1,52.22321,51.7968
Temp@AT_NoXSnrGrm.RN_1,107.3831,106.8988
Temp@AT_NoXSnPbHx.RN_1,440.876,440.4963
Temp@AT_ATD_1.RN_1,81.19561,80.40108
Temp@AT_ATD_2.RN_1,97.67145,93.21545
Temp@AT_ATD_3.RN_1,62.4673,62.05054
Temp@AT_ATD_4.RN_1,74.59838,74.0784
Temp@AT_ATD_5.RN_1,178.5743,177.2758
Temp@AT_EOT_1.RN_1,89.90118,89.25663
Temp@AT_EOT_2.RN_1,124.4942,123.5807
Temp@AT_OCT_1.RN_1,123.1223,121.6098
Temp@AT_OCT_2.RN_1,141.1359,139.816
Temp@AT_InLtFLSns.RN_1,37.57792,36.83921
Temp@AT_EOT_3.RN_1,91.10769,89.63905
Temp@AT_EOT_4.RN_1,134.7523,133.8021
Temp@AT_GrlScrTmp.RN_1,32.77563,32.48651
Temp@AT_TmpMdlWir.RN_1,61.85812,60.8862
Temp@AT_TmpMdlGrm.RN_1,63.17997,62.58028
Temp@AT_TmpMdlBdy.RN_1,52.7534,52.41285
Temp@AT_DbAmtArea.RN_1,67.34272,66.98367
Temp@AT_AltAmb.RN_1,67.56162,67.15054
Temp@AT_AC1b.RN_1,64.53391,64.17001
Temp@AT_ClntTmpSn.RN_1,85.39483,85.01756
Temp@AT_EGRTmpSns.RN_1,72.06577,71.71495
Temp@AT_FRPRlfVlv.RN_1,77.26381,76.94535
Temp@AT_OCVSrf_2.RN_1,73.35355,72.84415
Temp@AT_AltSrf.RN_1,70.23269,70.0175
Temp@AT_AcAlt_1a.RN_1,70.37627,70.08302
