Filename,2_Mercury_WT_13.6_LPB_FT4_YINLUN_FLRS_405kw_29C,2_Mercury_WT_13.6_LPB_FT4_YINLUN_FLRS_405kw_29C,2_Mercury_WT_13.6_LPB_FT4_YINLUN_FLRS_405kw_29C,2_Mercury_WT_13.6_LPB_FT4_YINLUN_FLRS_405kw_29C,3_Mercury_WT_13.6_LPB_FT4_YINLUN_PP_405kw_29C,3_Mercury_WT_13.6_LPB_FT4_YINLUN_PP_405kw_29C,3_Mercury_WT_13.6_LPB_FT4_YINLUN_PP_405kw_29C,3_Mercury_WT_13.6_LPB_FT4_YINLUN_PP_405kw_29C,4_Mercury_WT_13.6_LPB_FT4_YINLUN_BOOST_405kw_29C,4_Mercury_WT_13.6_LPB_FT4_YINLUN_BOOST_405kw_29C,4_Mercury_WT_13.6_LPB_FT4_YINLUN_BOOST_405kw_29C,4_Mercury_WT_13.6_LPB_FT4_YINLUN_BOOST_405kw_29C
Attribute,"""Max""",Mean,"""Min""",SDev,"""Max""",Mean,"""Min""",SDev,"""Max""",Mean,"""Min""",SDev
ChanTitle,,,,,,,,,,,,
Amps@AlterBAmps.RN_1,16.30954,14.04122,10.71896,1.256798,17.85761,14.36567,11.34013,1.192938,16.38938,14.31244,10.73064,1.14984
Amps@AlterExcAmps.RN_1,1.437331,1.015166,0.7086551,0.1183457,1.430012,1.096856,0.7620798,0.1095256,1.387565,1.039274,0.785499,0.1106297
CAN2@EGRAmbientTm.RN_1,126.1,125.2307,124.1,0.5908722,140.4,139.7284,139.1,0.3545228,133.2,132.4356,131.4,0.5558212
CAN2@ET_1.RN_1,193.7,192.7586,191.2,0.4543215,207.6,206.607,205.3,0.3684108,202.2,201.022,199.2,0.4726324
CAN2@Ex_15.RN_1,135,134.4261,134,0.2215534,143,142.4965,141.9,0.1898726,140.7,140.0371,139.4,0.2579275
CAN2@Ex_2.RN_1,124.4,124.0099,123.6,0.1602365,134.1,133.7451,133.4,0.1492906,128.8,128.5298,128.2,0.149272
CAN2@Ex_3.RN_1,127.2,126.4281,125.6,0.3204849,137.6,136.8653,136,0.264478,131.9,131.2454,130.5,0.2518467
CAN2@Ex_4.RN_1,120.7,120.0107,119.4,0.2049116,129.3,128.6813,128,0.214332,125.1,124.3927,123.6,0.228949
