,file_name,measure_name,time_slice_start,time_slice_end,agg_type,measure_value,5.4.1
0,Run 2 Bottom Debris Panel Production Exhaust Tube Wabco App PP 459Kw_29C_4_22_25_edaq_export.csv,AT_ExThCondt,40,280,max,142.965087890625,
1,Run 2 Bottom Debris Panel Production Exhaust Tube Wabco App PP 459Kw_29C_4_22_25_edaq_export.csv,AT_ExThCondt,40,280,mean,142.57197741749877,
2,Run 2 Bottom Debris Panel Production Exhaust Tube Wabco App PP 459Kw_29C_4_22_25_edaq_export.csv,AT_ExThCondt,40,280,min,142.116577148438,
3,Run 2 Bottom Debris Panel Production Exhaust Tube Wabco App PP 459Kw_29C_4_22_25_edaq_export.csv,AT_ExThCondt,40,280,st dev,0.16417083357188125,
4,Run 2 Bottom Debris Panel Production Exhaust Tube Wabco App PP 459Kw_29C_4_22_25_edaq_export.csv,AT_TC_13,40,280,max,231.945892333984,fail
5,Run 2 Bottom Debris Panel Production Exhaust Tube Wabco App PP 459Kw_29C_4_22_25_edaq_export.csv,AT_TC_13,40,280,mean,229.92783118283603,
6,Run 2 Bottom Debris Panel Production Exhaust Tube Wabco App PP 459Kw_29C_4_22_25_edaq_export.csv,AT_TC_13,40,280,min,227.899490356445,
7,Run 2 Bottom Debris Panel Production Exhaust Tube Wabco App PP 459Kw_29C_4_22_25_edaq_export.csv,AT_TC_13,40,280,st dev,0.872239200599504,
8,Run 2 Bottom Debris Panel Production Exhaust Tube Wabco App PP 459Kw_29C_4_22_25_edaq_export.csv,AT_TC_18,40,280,max,211.541412353516,fail
9,Run 2 Bottom Debris Panel Production Exhaust Tube Wabco App PP 459Kw_29C_4_22_25_edaq_export.csv,AT_TC_18,40,280,mean,208.12912582460783,
10,Run 2 Bottom Debris Panel Production Exhaust Tube Wabco App PP 459Kw_29C_4_22_25_edaq_export.csv,AT_TC_18,40,280,min,204.264434814453,
11,Run 2 Bottom Debris Panel Production Exhaust Tube Wabco App PP 459Kw_29C_4_22_25_edaq_export.csv,AT_TC_18,40,280,st dev,1.6504742906549434,
12,Run 2 Bottom Debris Panel Production Exhaust Tube Wabco App PP 459Kw_29C_4_22_25_edaq_export.csv,AT_TC_20,40,280,max,160.457382202148,pass
13,Run 2 Bottom Debris Panel Production Exhaust Tube Wabco App PP 459Kw_29C_4_22_25_edaq_export.csv,AT_TC_20,40,280,mean,159.70900121665105,
14,Run 2 Bottom Debris Panel Production Exhaust Tube Wabco App PP 459Kw_29C_4_22_25_edaq_export.csv,AT_TC_20,40,280,min,158.852813720703,
